0,Private flight
1,135 Airways
2,1Time Airline
3,2 Sqn No 1 Elementary Flying Training School
4,213 Flight Unit
5,223 Flight Unit State Airline
6,224th Flight Unit
7,247 Jet Ltd
8,3D Aviation
9,40-Mile Air
10,4D Air
11,611897 Alberta Limited
12,Ansett Australia
13,Abacus International
14,Abelag Aviation
15,Army Air Corps
16,Aero Aviation Centre Ltd.
17,Aero Servicios Ejecutivos Internacionales
18,Aero Biniza
19,Aero Albatros
20,Aigle Azur
21,Aloha Airlines
22,Alaska Island Air
23,American Airlines
24,Aviation Management Corporation
25,Atlantis Airlines (USA)
26,Aerovista Airlines
27,Asiana Airlines
28,Askari Aviation
29,Australia Asia Airlines
30,Astro Air International
31,Afriqiyah Airways
32,Afrinat International Airlines
33,Afric'air Express
34,Allegiant Air
35,Angus Aviation
36,Artem-Avia
37,African Business and Transportations
38,Aban Air
39,Aerial Oy
40,Abakan-Avia
41,ABSA - Aerolinhas Brasileiras
42,Abaet
43,Alberta Citylink
44,APSA Colombia
45,Aerovias Bueno
46,Aerocenter
47,Antrak Air
48,Airborne Express
49,ABX Air
50,ATA Brasil
51,Avcard Services
52,Academy Airlines
53,Aero Comondu
54,Astral Aviation
55,Air Cess
56,Air Aurora
57,Air Cargo Transportation System
58,Air Charter Service
59,Aero Asia International
60,Air Charters
61,Air Togo
62,Air Somalia
63,Atlas Cargo Lines
64,Airservices Australia
65,Advance Leasing Company
66,Aztec Worldwide Airlines
67,Air Tindi
68,Antonov Airlines
69,Air Atlantic Dominicana
70,Advanced Air Co.
71,Ada Air
72,Aerea Flying Training Organization
73,Audeli Air
74,Abicar
75,ADC Airlines
76,Aero Dynamics
77,Aerolineas Dominicanas
78,Aerodienst GmbH
79,Aerodiplomatic
80,Aerodyne
81,Avion Taxi
82,Adria Airways
83,Aviones de Sonora
84,Air Dorval
85,Airdeal Oy
86,Advance Air Charters
87,Air Andaman
88,Anderson Aviation
89,Air Europa
90,Air Southwest Ltd.
91,Air Special
92,Aero Benin
93,Aerocesar
94,Aerotrans Airlines
95,Aegean Airlines
96,Aerofumigaciones Sam
97,Aeroexpreso Interamericano
98,Air Express
99,Aerocon
100,Aero Madrid
101,Aeroenlaces Nacionales
102,Aeroservicios Ejecutivos Del Occidente
103,Aerotec
104,Air Atlantique
105,Air Europe
106,Air Alma
107,Air Express
108,Alaska Central Express
109,ACES Colombia
110,Aeronautical Radio of Thailand
111,Astraeus
112,Aeroventas
113,Aerosvit Airlines
114,Airway Express
115,Air Italy
116,Aerial Transit Company
117,Alfa Air
118,American Falcon
119,Alliance Airlines
120,Air Universal
121,Auvia Air
122,African West Air
123,Airfast Indonesia
124,Ariana Afghan Airlines
125,Air Fecteau
126,Africaone
127,Alliance
128,Africa Air Links
129,Aeroflot Russian Airlines
130,Aero Empresa Mexicana
131,Air Bosna
